RegulatedEntityId,Regulated Entity Name,Regulated Entity Group,Donations Value,Donation Events,Donation Mean
17.0,English Democrats,Small Entity,118532.0,12,9877.666666666666
19.0,Legalise Cannabis Alliance,Small Entity,35500.0,13,2730.769230769231
30.0,Upminster And Cranham Residents Association,Single Donation Entity,10000.0,1,10000.0
39.0,Sinn Fein,Small Entity,222772.98,13,17136.383076923077
39.0,Sinn Fã©In,Medium Large Entity,5936716.49,358,16583.006955307264
39.0,Sinn Fãƒ©In,Medium Large Entity,2506699.11,359,6982.448774373259
39.0,Sinn Féin,Small Medium Entity,1189217.51,57,20863.465087719294
44.0,Independent Kidderminster Hospital And Health Concern,Small Entity,31949.0,8,3993.625
46.0,Scottish Socialist Party,Medium Entity,558415.09,145,3851.138551724138
51.0,Conservative And Unionist Party,Conservative And Unionist Party,211519.68,23,9196.507826086956
52.0,Conservative And Unionist Party,Conservative And Unionist Party,622136893.23,28624,21734.799232462272
53.0,Labour Party,Labour Party,528894872.7,22747,23251.192363828195
54.0,Liberal Party,Small Entity,43076.32,15,2871.7546666666667
55.0,Sdlp (Social Democratic & Labour Party),Medium Large Entity,2089045.06,210,9947.833619047618
58.0,Mebyon Kernow - Party For Cornwall,Very Small Entity,9410.9,4,2352.725
63.0,Green Party,Green Party,9734381.55,1605,6065.03523364486
66.0,Official Monster Raving Loony Party,Small Entity,8572.42,7,1224.6314285714286
67.0,Alliance For Green Socialism,Single Donation Entity,9217.0,1,9217.0
69.0,Democratic Party,Single Donation Entity,100000.0,1,100000.0
70.0,Democratic Unionist Party - D.U.P.,Medium Large Entity,4154856.57,300,13849.521900000002
73.0,Socialist Labour Party,Very Small Entity,60200.0,2,30100.0
77.0,Plaid Cymru - Party Of Wales,Large Entity,8125828.79,509,15964.300176817287
78.0,Communist Party Of Britain,Small Medium Entity,881564.04,22,40071.09272727273
79.0,Christian Peoples Alliance,Small Medium Entity,145808.49,85,1715.3939999999998
83.0,Ulster Unionist Party,Medium Entity,719249.21,183,3930.323551912568
85.0,Uk Independence Party (Ukip),Uk Independence Party (Ukip),18241017.39,1830,9967.769065573772
90.0,Liberal Democrats,Liberal Democrats,164395786.6,19184,8569.421736864053
102.0,Scottish National Party (Snp),Large Entity,31252708.56,810,38583.590814814816
103.0,Alliance - Alliance Party Of Northern Ireland,Medium Large Entity,1458271.86,218,6689.320458715597
