DonorId,Donor Name,Donations Value,Donation Events,Donation Mean
1.0,Joseph Rowntree Refrom Trust Ltd,53000.0,2,26500.0
2.0,Birkenhead North End Labour Club,118680.84000000001,2,59340.420000000006
3.0,Bord Institute Trust,26625.0,3,8875.0
4.0,Branksome Liberal Club Trust,74495.89,14,5321.135
5.0,Bridgwater Trust,7700.0,3,2566.6666666666665
5.0,Dominion Press,18437.0,2,9218.5
7.0,Castle Cary Liberal Club & Ass.,28350.0,6,4725.0
8.0,C A Church Ltd,159150.0,20,7957.5
9.0,Congleton Liberal Club Building Company,267052.96,67,3985.865074626866
10.0,Countryside Trust Fund,16000.0,2,8000.0
10.0,Mr Peter Long,6795.6,2,3397.8
11.0,C. A. Church Limited,36000.0,3,12000.0
12.0,Darlington Liberal Democrats Trust,36750.04,18,2041.668888888889
13.0,Dundee Liberal Club Trust,69060.74,11,6278.249090909091
14.0,Earlswood Hall Trustees,13725.650000000001,4,3431.4125000000004
15.0,Dame Maureen Thomas,94050.0,24,3918.75
15.0,Exeter Constitutional Trust,23745.39,7,3392.1985714285715
17.0,Glasgow Unionist Association Trust,53065.14,7,7580.734285714286
18.0,Scottish Unionist Association Trust,53585.0,21,2551.6666666666665
19.0,Dame Maureen Thomas,8850.0,4,2212.5
20.0,Dame Maureen Thomas,10275.77,5,2055.154
20.0,Leagrave Trust,28500.0,2,14250.0
21.0,Dame Maureen Thomas,58345.42,5,11669.083999999999
22.0,Dame Maureen Thomas,4700.0,2,2350.0
22.0,Morris Hall Trustees,13400.0,5,2680.0
23.0,Mr John Evers,31276.54,3,10425.513333333334
23.0,Mrs Mary Davies,2350.0,1,2350.0
24.0,Dame Maureen Thomas,45500.0,3,15166.666666666666
25.0,Mr John Stevens,13165.0,8,1645.625
26.0,Dame Maureen Thomas,5500.0,2,2750.0
27.0,Dr Lynda Partiridge,17500.0,2,8750.0
28.0,C. A. Church Ltd,39392.19,4,9848.0475
30.0,Dame Maureen Thomas,5000.0,2,2500.0
31.0,Dame Maureen Thomas,8500.0,2,4250.0
32.0,Mr Andrew Jukes,6208.0,2,3104.0
33.0,Scottish Unionist Association Trust,329053.6,98,3357.689795918367
34.0,Mr Nat Puri,15879.71,3,5293.236666666667
35.0,Mr Michael Young,82332.0,16,5145.75
35.0,Sir Havergal Downes-Shaw Will Trust,19000.0,7,2714.285714285714
37.0,St. Ives Liberal Hall Trust,1450.0,1,1450.0
41.0,Connect,212987.13,33,6454.155454545455
43.0,The Liberal Democrat Norfolk & Norwich Area Hq Fund,22350.0,3,7450.0
54.0,Anne Speirs Memorial Trust,4500.0,2,2250.0
55.0,Arthur Palmer Memorial Trust,13669.11,10,1366.911
56.0,Ben Gowlett Trustees,73230.0,8,9153.75
61.0,The Mainstream Trust,388761.0,140,2776.864285714286
62.0,Kathleen  Henshall,9845.96,4,2461.49
63.0,Sir Havergal Downes-Shaw Will Trust,5000.0,1,5000.0
64.0,Miss Averil Henshall,22823.059999999998,7,3260.4371428571426
65.0,Mr Alan Bowkett,99789.93,3,33263.31
66.0,Mr John A S Nash,125000.0,3,41666.666666666664
66.0,Mr John Nash,6000.0,1,6000.0
70.0,The Garstung Liberal Club Trust,10250.0,2,5125.0
75.0,Amicus,13343972.11,705,18927.620014184395
77.0,Hamworthy Hall Trustees,22525.0,5,4505.0
77.0,The Joseph Rowntree Reform Trust Ltd,10129271.66,301,33652.06531561462
80.0,Llantisilio Hall Trust,67384.32,4,16846.08
80.0,Mr Mohammed Sarwar,3200.0,2,1600.0
83.0,Huntingdon,59250.0,4,14812.5
84.0,May Keyte Will Trust,36757.56,2,18378.78
85.0,Heaton Moor Reform Club,20000.0,2,10000.0
86.0,Mr Alan Howard,25000.0,2,12500.0
87.0,Mr Jon Moulton,52000.0,2,26000.0
88.0,Alfred Leslie Hale Trust,39908.46,2,19954.23
89.0,Morris Hall Trust,24900.0,8,3112.5
90.0,Dudley Gladstone Liberal Club,25153.97,3,8384.656666666668
91.0,Mr Michael Batt,9245.0,2,4622.5
92.0,Jedforest Liberal Club,34962.259999999995,2,17481.129999999997
93.0,Gowlett Trust,17500.0,2,8750.0
94.0,Joseph Rowntree Refrom Trust Ltd,15320.0,2,7660.0
95.0,Leamington Fund,91000.0,4,22750.0
96.0,Mr Michael Batt,30000.0,1,30000.0
97.0,Mr Michael Batt,30000.0,1,30000.0
98.0,Ellis Marsden Memorial Trust,40000.0,2,20000.0
99.0,Michael Batt,30000.0,1,30000.0
99.0,Mr Michael Platt,250000.0,2,125000.0
99.0,Mr Michael Watson,7500.0,2,3750.0
100.0,Mr Jon Moulton,60000.0,2,30000.0
101.0,Mr Stanley Fink,10000.0,1,10000.0
102.0,Mr Alan Howard,4500.0,1,4500.0
103.0,Investors In Private Capital Limited,913400.0,24,38058.333333333336
104.0,Mr Henry Tinsley,10000.0,1,10000.0
105.0,Mr Henry Cole Tinsley,20000.0,1,20000.0
106.0,Mr Stephen Hargrave,6113.0,2,3056.5
106.0,Mr Stephen Hart,1015.0,1,1015.0
106.0,Mr Steve Hart,2520.0,1,2520.0
106.0,Stephen P Charge,6200.0,1,6200.0
107.0,The Company Agency Ltd,5000.0,1,5000.0
108.0,Lord Philip C. Harris,400.0,1,400.0
108.0,Mr Philip Harris,167500.0,3,55833.333333333336
109.0,Mr Robin Edwards,1250.0,1,1250.0
110.0,Oceana Investment Corporation Ltd,35500.0,3,11833.333333333334
111.0,Alan Sharr,10000.0,1,10000.0
111.0,Mr Alan Sharr,12500.0,2,6250.0
112.0,Lord Timothy Bell,2500.0,1,2500.0
113.0,Mr Geoffrey Leigh,3100.0,2,1550.0
