,RegulatedEntityName,DonationsValue,DonationEvents,DonationMean,RegEntity_Group
0,A Minority Pastime Limited,6612.0,1,6612.0,Single Donation Entity
1,A. A. Craig,12100.0,11,1100.0,Unknown
2,Abisola Ifasawo,1650.0,1,1650.0,Single Donation Entity
3,Adam Holloway,31341.0,11,2849.181818181818,Unknown
4,Adam Ingram,5245.2,1,5245.2,Single Donation Entity
5,Adam Price,13345.2,3,4448.400000000001,Unknown
6,Adrian Bailey,4973.39,1,4973.39,Single Donation Entity
7,Adrian Sanders,5500.0,2,2750.0,Unknown
8,Afzal Amin,1600.0,1,1600.0,Single Donation Entity
9,Afzal Khan,4323.0,2,2161.5,Unknown
10,Aidan Burley,11400.0,3,3800.0,Unknown
11,Alan Beith,10645.2,4,2661.3,Unknown
12,Alan Brown,5100.0,1,5100.0,Single Donation Entity
13,Alan Duncan,41067.52,15,2737.8346666666666,Unknown
14,Alan Johnson,69209.0,23,3009.086956521739,Unknown
15,Alan Mak,27693.61,9,3077.067777777778,Unknown
16,Alan Meale,12245.2,2,6122.6,Unknown
17,Alan Milburn,37213.13,7,5316.161428571429,Unknown
18,Alan Waltham,2500.0,1,2500.0,Single Donation Entity
19,Albert Owen,2453.15,1,2453.15,Single Donation Entity
20,Alec Shelbrooke,4860.0,2,2430.0,Unknown
21,Alex Burghart,7800.0,1,7800.0,Single Donation Entity
22,Alex Cunningham,5000.0,1,5000.0,Single Donation Entity
23,Alex Rowley,7000.0,2,3500.0,Unknown
24,Alex Salmond,27431.97,4,6857.9925,Unknown
25,Alex Sobel,1502.46,1,1502.46,Single Donation Entity
26,Alexander Stewart,6000.0,1,6000.0,Single Donation Entity
27,Alexandra Mayer,11692.0,1,11692.0,Single Donation Entity
28,Alison Mcgovern,15677.09,8,1959.63625,Unknown
29,Alistair Burt,58650.0,12,4887.5,Unknown
30,Alistair Carmichael,82394.34999999999,12,6866.195833333332,Unknown
31,Alistair Darling,7312.42,1,7312.42,Single Donation Entity
32,All People'S Party,116899.47,16,7306.216875,Unknown
33,Alliance - Alliance Party Of Northern Ireland,212766.87,52,4091.6705769230766,Unknown
34,Alliance For Green Socialism,9217.0,1,9217.0,Single Donation Entity
35,Alok Sharma,17827.57,5,3565.514,Unknown
36,Alun Cairns,35420.95,8,4427.61875,Unknown
37,Alun Craig Williams,1600.0,1,1600.0,Single Donation Entity
38,Alun Davies,2431.71,1,2431.71,Single Donation Entity
39,Alun Michael,15103.0,5,3020.6,Unknown
40,Amanda Milling,2000.0,1,2000.0,Single Donation Entity
41,Amber Rudd,3381.91,2,1690.955,Unknown
42,Anas Sarwar,171191.43,11,15562.857272727271,Unknown
43,Andrea Jenkyns,66307.86,13,5100.6046153846155,Unknown
44,Andrea Leadsom,72300.0,5,14460.0,Unknown
45,Andrew Bingham,1840.0,1,1840.0,Single Donation Entity
46,Andrew Bowie,4650.0,2,2325.0,Unknown
47,Andrew Bridgen,7500.0,3,2500.0,Unknown
48,Andrew Dismore,6445.2,2,3222.6,Unknown
49,Andrew Duff,3933.9,1,3933.9,Single Donation Entity
50,Andrew George,11441.22,5,2288.2439999999997,Unknown
51,Andrew Griffiths,12000.0,2,6000.0,Unknown
52,Andrew Gwynne,50019.36,14,3572.8114285714287,Unknown
53,Andrew Lansley,46245.2,4,11561.3,Unknown
54,Andrew Lewin,5000.0,1,5000.0,Single Donation Entity
55,Andrew Love,10733.0,4,2683.25,Unknown
56,Andrew Mackay,13536.2,3,4512.066666666667,Unknown
57,Andrew Miller,16753.2,5,3350.6400000000003,Unknown
58,Andrew Milligan,1650.0,1,1650.0,Single Donation Entity
59,Andrew Mitchell,626163.24,86,7280.967906976744,Unknown
60,Andrew Palmer Kerr,9880.0,4,2470.0,Unknown
61,Andrew Percy,29239.0,11,2658.090909090909,Unknown
62,Andrew Perry,4000.0,1,4000.0,Single Donation Entity
63,Andrew Robathan,11762.0,4,2940.5,Unknown
64,Andrew Rosindell,182416.24,63,2895.495873015873,Unknown
65,Andrew Selous,8000.0,1,8000.0,Single Donation Entity
66,Andrew Stephenson,34307.21,8,4288.40125,Unknown
67,Andrew Stunell,5000.0,2,2500.0,Unknown
68,Andrew Turner,2500.0,1,2500.0,Single Donation Entity
69,Andrew Tyrie,21800.0,3,7266.666666666667,Unknown
70,Andy Burnham,424488.36,65,6530.590153846154,Unknown
71,Andy Mcdonald,106485.5,8,13310.6875,Unknown
72,Andy Reed,3757.08,2,1878.54,Unknown
73,Andy Slaughter,18569.52,5,3713.904,Unknown
74,Andy Street,483773.33,75,6450.311066666667,Unknown
75,Angela Browning,5245.2,1,5245.2,Single Donation Entity
76,Angela Burns,2000.0,1,2000.0,Single Donation Entity
77,Angela Eagle,194891.42,14,13920.815714285714,Unknown
78,Angela Rayner,39937.0,8,4992.125,Unknown
79,Angela Smith,2958.06,1,2958.06,Single Donation Entity
80,Angie Bray,2000.0,1,2000.0,Single Donation Entity
81,Angus Macdonald,28780.0,2,14390.0,Unknown
82,Angus Macneil,21796.48,5,4359.296,Unknown
83,Ann Mckechin,6329.2,2,3164.6,Unknown
84,Ann Widdecombe,1500.0,1,1500.0,Single Donation Entity
85,Ann Winterton,4001.0,2,2000.5,Unknown
86,Anna Mcmorrin,9232.43,2,4616.215,Unknown
87,Anna Soubry,5000.0,1,5000.0,Single Donation Entity
88,Anne Main,4260.0,2,2130.0,Unknown
89,Anne Marie Morris,47275.72,18,2626.428888888889,Unknown
90,Anne Mcguire,3114.56,2,1557.28,Unknown
91,Anne Milton,3482.5,3,1160.8333333333333,Unknown
92,Anne Snelgrove,1425.0,1,1425.0,Single Donation Entity
93,Anne-Marie Trevelyan,47805.82,22,2172.991818181818,Unknown
94,Annette Brooke,3398.0,2,1699.0,Unknown
95,Annie Wells,2000.0,1,2000.0,Single Donation Entity
96,Annunziata Rees-Mogg,1800.0,1,1800.0,Single Donation Entity
97,Another Europe Is Possible,15320.0,2,7660.0,Unknown
98,Anthony Cox,12500.0,2,6250.0,Unknown
99,Anthony Rowlands,1250.0,1,1250.0,Single Donation Entity
100,Anthony Wright,6167.0,2,3083.5,Unknown
101,Antoinette Sandbach,5748.0,2,2874.0,Unknown
102,Archie Norman,10345.2,2,5172.6,Unknown
103,Archy Kirkwood,5245.2,1,5245.2,Single Donation Entity
104,Arlene Mccarthy,3933.9,1,3933.9,Single Donation Entity
105,Ashfield Independents,8400.0,2,4200.0,Unknown
106,Aspire,9872.880000000001,2,4936.4400000000005,Unknown
107,Austin Mitchell,4000.0,1,4000.0,Single Donation Entity
108,Bambos Charalambous,4429.58,2,2214.79,Unknown
109,Barbara Follett,5245.2,1,5245.2,Single Donation Entity
110,Barbara Keeley,1425.0,1,1425.0,Single Donation Entity
111,Barry Gardiner,536896.48,50,10737.9296,Very Small Entity
112,Barry Sheerman,15107.849999999999,4,3776.9624999999996,Unknown
113,Bashir Khanbhai,3933.9,1,3933.9,Single Donation Entity
114,Ben Bradley,36000.0,3,12000.0,Unknown
115,Ben Bradshaw,19929.47,7,2847.067142857143,Unknown
116,Ben Chapman,9139.0,3,3046.3333333333335,Unknown
117,Ben Gummer,7289.19,2,3644.595,Unknown
118,Ben Houchen,23300.0,6,3883.3333333333335,Unknown
119,Ben Howlett,3042.5,1,3042.5,Single Donation Entity
120,Ben Wallace,3500.0,1,3500.0,Single Donation Entity
121,Benjamin Charles Tudor Jeffreys,2000.0,1,2000.0,Single Donation Entity
122,Bernard Jenkin,49185.94,3,16395.313333333335,Unknown
123,Best For Our Future Ltd,848000.0,12,70666.66666666667,Unknown
124,Beth Prescott,1650.0,1,1650.0,Single Donation Entity
125,Better Bedford Independent Party,27676.0,3,9225.333333333334,Unknown
126,Better Together 2012 Ltd,2477746.0,47,52718.0,Unknown
127,Better With Scotland,20723.5,1,20723.5,Single Donation Entity
128,Bill Bowman,2200.0,1,2200.0,Single Donation Entity
129,Bill Butler,1500.0,1,1500.0,Single Donation Entity
130,Bill Esterson,38900.0,7,5557.142857142857,Unknown
131,Bill Miller,3933.9,1,3933.9,Single Donation Entity
132,Bill Newton Dunn,7867.8,2,3933.9,Unknown
133,Bill Olner,4234.0,2,2117.0,Unknown
134,Bill Rammell,10345.2,2,5172.6,Unknown
135,Bill Tynan,5245.2,1,5245.2,Single Donation Entity
136,Bill Wiggin,12000.0,3,4000.0,Unknown
137,Bim Afolami,2000.0,1,2000.0,Single Donation Entity
138,Blah Party,244335.95,25,9773.438,Unknown
139,Blair Must Go Party,8200.0,1,8200.0,Single Donation Entity
140,Bleddyn William Vaughan Rees,1650.0,1,1650.0,Single Donation Entity
141,Blue Collar Conservatism Ltd,39000.0,5,7800.0,Unknown
142,Bob Ainsworth,4500.0,1,4500.0,Single Donation Entity
143,Bob Blackman,88130.83,24,3672.1179166666666,Unknown
144,Bob Blizzard,17445.2,6,2907.5333333333333,Unknown
145,Bob Russell,5222.0,1,5222.0,Single Donation Entity
146,Bob Seely,2950.0,1,2950.0,Single Donation Entity
147,Bob Stewart,18781.32,5,3756.264,Unknown
148,Boris Johnson,1514047.13,141,10737.922907801418,Unknown
149,Both Unions Party Of Northern Ireland,16810.0,1,16810.0,Single Donation Entity
150,Brandon Lewis,268390.38,46,5834.57347826087,Unknown
151,Brendan O'Hara,9783.19,4,2445.7975,Unknown
152,Brexit Express,1256032.54,7,179433.22,Unknown
153,Brexit Express (Be),8851.2,3,2950.4,Unknown
154,Brexit Party,1068902.01,34,31438.294411764706,Unknown
155,Brian Binley,7324.92,3,2441.64,Unknown
156,Brian Donohoe,34866.130000000005,9,3874.014444444445,Unknown
157,Brian Simpson,25758.9,12,2146.5750000000003,Unknown
158,Brian White,5245.2,1,5245.2,Single Donation Entity
159,Bridget Phillipson,2123.4,1,2123.4,Single Donation Entity
160,Bridget Prentice,5245.2,1,5245.2,Single Donation Entity
161,Britain Yearly Meeting Of Religious Society Of Friends (Quakers),28500.0,4,7125.0,Unknown
162,British Declaration Of Independence [The],16098.0,2,8049.0,Unknown
163,British Institute Of Human Rights,5573.0,1,5573.0,Single Donation Entity
