DonorId,Potential Duplicates
38092.0,"[83258.0, 2442.0]"
83258.0,"[2442.0, 38092.0]"
2442.0,"[83258.0, 38092.0]"
12247.0,"[84153.0, 74146.0, 13365.0]"
74146.0,"[74569.0, 12247.0]"
13365.0,"[74569.0, 48902.0, 12247.0]"
84153.0,"[48902.0, 12247.0]"
87242.0,[86419.0]
86419.0,[87242.0]
87348.0,"[53872.0, 74211.0]"
74211.0,"[53872.0, 87348.0, 26334.0]"
53872.0,"[74211.0, 87348.0]"
87473.0,"[16355.0, 23524.0]"
23524.0,"[87473.0, 16355.0]"
16355.0,"[87473.0, 23524.0]"
85056.0,"[4212.0, 73.0, 1644.0, 1.0]"
73.0,"[85056.0, 78142.0, 83360.0, 1644.0, 94.0]"
1.0,"[85056.0, 4212.0, 78142.0, 94.0]"
1644.0,"[85056.0, 73.0, 78142.0, 83360.0]"
4212.0,"[85056.0, 1.0, 78142.0, 94.0]"
3116.0,"[81649.0, 16933.0, 2270.0]"
2270.0,"[81649.0, 3116.0, 16933.0]"
16933.0,"[3116.0, 2270.0]"
81649.0,"[3116.0, 2270.0]"
4882.0,"[25032.0, 16089.0, 74581.0, 74951.0]"
25032.0,"[16089.0, 4882.0, 74581.0, 74951.0]"
74581.0,"[25032.0, 4882.0, 74951.0]"
74951.0,"[25032.0, 4882.0, 74581.0]"
16089.0,"[25032.0, 4882.0, 8229.0, 3037.0]"
29151.0,"[1635.0, 5614.0]"
5614.0,"[1635.0, 29151.0]"
1635.0,"[5614.0, 29151.0]"
85494.0,[83340.0]
83340.0,"[20004.0, 4872.0, 86635.0, 12786.0, 85494.0, 11769.0]"
84388.0,"[1160.0, 74189.0]"
74189.0,[84388.0]
1160.0,"[17928.0, 84388.0]"
87442.0,"[86955.0, 84158.0, 19955.0]"
84158.0,"[34266.0, 87442.0, 86955.0]"
86955.0,"[87442.0, 84158.0]"
19955.0,"[37999.0, 87442.0, 23250.0, 34266.0, 8062.0]"
23404.0,"[21840.0, 24093.0]"
24093.0,"[26848.0, 23404.0]"
21840.0,"[26848.0, 23404.0]"
72773.0,[23581.0]
23581.0,"[37981.0, 72773.0]"
67995.0,"[23609.0, 54387.0, 83334.0]"
23609.0,"[67995.0, 47492.0]"
83334.0,"[48405.0, 67995.0, 47492.0, 11653.0]"
54387.0,"[67995.0, 11653.0]"
74902.0,[72627.0]
72627.0,"[74902.0, 76711.0]"
87244.0,[162.0]
162.0,[87244.0]
5636.0,"[84202.0, 77643.0, 72811.0, 85006.0, 47166.0]"
72811.0,"[47166.0, 77643.0, 5636.0, 85006.0]"
77643.0,"[47166.0, 72811.0, 5636.0, 85006.0]"
85006.0,"[77643.0, 72811.0, 5636.0, 47166.0]"
47166.0,"[77643.0, 72811.0, 5636.0, 85006.0]"
87462.0,"[31824.0, 32581.0]"
32581.0,"[31824.0, 87462.0]"
31824.0,"[32581.0, 87462.0]"
32016.0,"[32428.0, 32461.0, 32191.0]"
32461.0,"[32016.0, 32191.0]"
32191.0,"[32016.0, 32428.0, 32461.0]"
32428.0,"[32016.0, 32191.0]"
87226.0,[87347.0]
87347.0,[87226.0]
29425.0,"[84178.0, 29580.0, 23271.0]"
84178.0,"[29425.0, 23271.0, 18102.0, 1023.0]"
29580.0,"[29425.0, 17275.0, 18102.0, 1023.0]"
23271.0,"[29425.0, 84178.0, 17275.0, 18102.0]"
87230.0,[23824.0]
23824.0,[87230.0]
24101.0,"[48434.0, 67237.0]"
67237.0,"[48434.0, 24101.0]"
48434.0,"[24101.0, 67237.0]"
86938.0,"[2409.0, 16356.0, 87029.0]"
16356.0,"[2409.0, 86938.0, 1937.0]"
87029.0,[86938.0]
2409.0,"[86938.0, 16356.0]"
21089.0,"[15427.0, 67975.0, 7624.0, 15722.0, 27774.0]"
67975.0,"[21089.0, 15427.0, 7624.0, 15722.0, 27774.0]"
27774.0,"[21089.0, 15722.0, 67975.0]"
7624.0,"[21089.0, 15427.0, 67975.0]"
15722.0,"[21089.0, 27774.0, 67975.0]"
33499.0,[13398.0]
13398.0,[33499.0]
87198.0,[52216.0]
52216.0,[87198.0]
25257.0,"[18104.0, 72028.0]"
18104.0,"[25257.0, 38043.0]"
72028.0,[25257.0]
50250.0,[46825.0]
46825.0,"[11536.0, 50250.0]"
7678.0,"[67957.0, 12919.0]"
67957.0,"[7678.0, 12919.0]"
12919.0,"[67957.0, 7678.0]"
23494.0,[2101.0]
2101.0,[23494.0]
87238.0,[25137.0]
25137.0,"[87238.0, 16335.0]"
47455.0,[23885.0]
23885.0,"[27948.0, 5646.0, 27478.0, 72317.0, 47455.0]"
87219.0,[50249.0]
50249.0,[87219.0]
87218.0,[46824.0]
46824.0,[87218.0]
87180.0,[54660.0]
54660.0,[87180.0]
2108.0,"[38070.0, 108.0, 29422.0]"
108.0,"[29422.0, 2108.0, 38070.0]"
29422.0,"[108.0, 2108.0]"
38070.0,"[108.0, 2108.0]"
87217.0,[10242.0]
10242.0,"[87217.0, 77934.0]"
83292.0,[1095.0]
1095.0,[83292.0]
85212.0,"[20648.0, 23801.0]"
20648.0,"[23801.0, 85212.0]"
23801.0,"[20648.0, 85212.0]"
83243.0,"[3204.0, 67933.0, 3175.0]"
3175.0,"[86633.0, 83243.0, 3204.0]"
3204.0,"[83243.0, 67933.0, 3175.0]"
67933.0,"[83243.0, 3204.0]"
28780.0,"[31728.0, 29731.0, 29387.0]"
29387.0,"[31728.0, 29731.0, 28780.0]"
31728.0,"[29731.0, 29387.0, 28780.0]"
29731.0,"[31728.0, 29387.0, 28780.0]"
34529.0,"[27680.0, 72705.0, 73891.0, 54694.0]"
27680.0,"[34529.0, 73891.0, 54694.0, 72705.0]"
73891.0,"[27680.0, 34529.0, 54694.0]"
54694.0,"[27680.0, 34529.0, 73891.0, 72705.0]"
72705.0,"[27680.0, 34529.0, 54694.0]"
12091.0,"[4256.0, 14500.0, 14989.0, 13614.0, 21202.0, 15003.0]"
15003.0,"[14916.0, 12134.0, 21192.0, 13673.0, 47792.0, 21202.0, 4984.0, 12091.0, 5375.0]"
14989.0,"[3938.0, 676.0, 14500.0, 13673.0, 19273.0, 47792.0, 21202.0, 45270.0, 4984.0, 12091.0, 4988.0, 4990.0]"
21202.0,"[47792.0, 12091.0, 15003.0, 14989.0]"
4256.0,"[12096.0, 12091.0, 682.0, 30542.0, 14511.0, 6607.0, 10619.0]"
54432.0,[50615.0]
50615.0,"[54432.0, 48696.0, 5592.0]"
72168.0,[82968.0]
82968.0,[72168.0]
55995.0,[84370.0]
84370.0,[55995.0]
78735.0,[56044.0]
56044.0,[78735.0]
5773.0,"[4338.0, 34439.0]"
4338.0,"[11811.0, 6758.0, 34439.0, 5773.0, 11375.0, 74324.0, 76988.0]"
34439.0,"[4338.0, 76988.0, 5773.0]"
4264.0,"[45270.0, 13623.0, 3672.0, 1182.0, 5374.0]"
1182.0,"[4264.0, 5374.0]"
5374.0,"[4264.0, 1182.0]"
3672.0,"[4580.0, 4583.0, 4264.0, 4587.0, 1196.0, 14554.0, 11135.0]"
45270.0,"[16804.0, 4264.0, 14989.0, 14511.0, 10619.0, 13630.0]"
87092.0,"[71990.0, 78206.0, 4814.0]"
4814.0,"[68016.0, 87092.0, 71990.0]"
78206.0,"[68016.0, 74617.0, 87092.0, 17220.0]"
71990.0,"[74617.0, 87092.0, 4814.0]"
22451.0,"[17921.0, 16746.0, 19188.0]"
19188.0,"[17921.0, 22451.0]"
16746.0,[22451.0]
17921.0,"[22451.0, 19188.0]"
10619.0,"[4256.0, 16804.0, 13614.0, 14511.0, 45270.0, 1181.0]"
16804.0,"[10619.0, 1181.0, 45270.0, 14511.0]"
1181.0,"[10619.0, 16804.0]"
14511.0,"[4256.0, 16804.0, 45270.0, 12089.0, 10619.0]"
32858.0,[32840.0]
32840.0,[32858.0]
34493.0,"[24824.0, 26995.0]"
26995.0,"[24824.0, 34493.0]"
24824.0,"[26995.0, 34493.0]"
76988.0,"[6758.0, 4338.0, 11902.0, 34439.0]"
11902.0,"[8369.0, 76988.0, 6727.0]"
6758.0,"[84441.0, 4338.0, 46731.0, 76988.0]"
13673.0,"[14474.0, 14989.0, 2009.0, 19227.0, 15003.0]"
19227.0,"[17248.0, 13673.0]"
2009.0,"[82947.0, 74659.0, 4583.0, 13673.0, 11124.0, 86453.0, 2711.0]"
